City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
8,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
9,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
14,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Hermanus,ZA,77.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Bredasdorp,ZA,70.77,light rain,-34.5322,20.0403,Bredasdorp Country Manor
20,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
27,Cape Town,ZA,81.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
28,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
30,Atuona,PF,75.96,clear sky,-9.8,-139.0333,Villa Enata
33,Marovoay,MG,79.99,few clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
40,Guerrero Negro,MX,71.04,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,Saldanha,ZA,77.05,few clouds,-33.0117,17.9442,Blue Bay Lodge
44,Siderno,IT,71.33,clear sky,38.2779,16.302,Grand Hotel President
45,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
47,Maur,IN,77.65,clear sky,30.0833,75.25,sanju tee sotall
48,Meulaboh,ID,74.97,moderate rain,4.1363,96.1285,Kost Pria
49,Hithadhoo,MV,81.37,overcast clouds,-0.6,73.0833,Scoop Guest House
50,Dingle,PH,77.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
54,Pangai,TO,77.13,clear sky,-19.8,-174.35,Ha'apai Beach Resort
55,Mindelo,CV,83.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
60,Tamandare,BR,80.73,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
62,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
65,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Honiara,SB,77.38,moderate rain,-9.4333,159.95,Heritage Park Hotel
72,Takoradi,GH,80.64,moderate rain,4.8845,-1.7554,Raybow International Hotel
74,Hambantota,LK,80.94,overcast clouds,6.1241,81.1185,Bungalow 63
76,San Patricio,US,84.85,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
77,Archidona,ES,80.91,overcast clouds,37.0965,-4.3887,Hotel Escua
79,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
84,Nazret,ET,73.94,clear sky,8.55,39.2667,Liben Guesthouse
96,Ponta Do Sol,PT,78.01,clear sky,32.6667,-17.1,Hotel do Campo
97,San Rafael,AR,71.58,few clouds,-34.6177,-68.3301,Hotel San Rafael
99,Kudahuvadhoo,MV,81.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
101,Cabo San Lucas,MX,72.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
107,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
111,Port Elizabeth,ZA,80.1,clear sky,-33.918,25.5701,39 On Nile Guest House
113,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
114,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
116,Manakara,MG,72.66,clear sky,-22.1333,48.0167,La Residence Manakara
121,Tura,IN,70.68,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
122,Matay,EG,83.7,clear sky,28.419,30.7792,Nag Aespen
127,Ormara,PK,81.39,clear sky,25.2088,64.6357,Kenara Colony House for Rent
128,Richards Bay,ZA,70.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
132,Lorengau,PG,81.14,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
139,Kruisfontein,ZA,77.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
140,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
141,Abu Samrah,SY,80.29,few clouds,35.3029,37.1841,
143,Pandan,PH,80.26,overcast clouds,14.0453,124.1694,Bonifacio Lodge
147,Faanui,PF,78.87,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,Dinghai,CN,72.52,overcast clouds,26.2847,119.7936,Shanhai Hotel
153,Porto Belo,BR,72.68,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
155,Manta,EC,71.38,overcast clouds,-0.95,-80.7333,Balandra Hotel
163,Caravelas,BR,77.45,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
167,Kavieng,PG,81.55,light rain,-2.5744,150.7967,Nusa Island Retreat
170,Marrakesh,MA,80.67,sand,31.6315,-8.0083,Les Jardins de La Koutoubia
173,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
175,Sao Filipe,CV,77.58,clear sky,14.8961,-24.4956,Hotel Xaguate
177,Diego De Almagro,CL,75.42,clear sky,-26.3667,-70.05,hotel luna del desierto
182,Thinadhoo,MV,82.58,overcast clouds,0.5333,72.9333,
188,Bubaque,GW,83.3,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
191,Gushikawa,JP,81.63,scattered clouds,26.3544,127.8686,Kirari Guest House
192,Majene,ID,79.93,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
198,Platanos,GR,74.05,clear sky,37.6667,21.6167,Hotel Kronio
206,Pagudpud,PH,78.62,light rain,18.5616,120.7868,Saud Beach Resort and Hotel - 2
209,Sao Jose Da Coroa Grande,BR,80.4,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
224,Nuevo Progreso,MX,82.47,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
228,Lumphat,KH,72.34,heavy intensity rain,13.4878,106.9816,"Wing Seng Narong Agent, And Printing House"
229,Holiday,US,83.17,clear sky,28.1878,-82.7395,Fairfield Inn & Suites by Marriott Holiday Tarpon Springs
230,Pontianak,ID,75.18,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
231,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
233,Tawau,MY,77.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
234,Butaritari,KI,80.76,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
237,Marawi,PH,70.77,moderate rain,7.9986,124.2928,Derogongan Residence
239,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,Nishihara,JP,81.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
244,Mmathubudukwane,BW,83.62,overcast clouds,-24.6,26.4333,Gill Sleepover Guesthouse
245,Danielskuil,ZA,79.72,overcast clouds,-28.1887,23.5395,Botha'Sig Gastehuis
247,Basco,PH,82.35,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
248,Tsaratanana,MG,82.8,few clouds,-16.7833,47.65,
249,Del Rio,US,75.22,overcast clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
252,Bambanglipuro,ID,77.56,overcast clouds,-7.95,110.2833,Puri Brata
255,Najran,SA,83.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
258,Morgan City,US,79.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
259,Jinxiang,CN,70.74,overcast clouds,27.4327,120.6062,Wolong Village
260,Ailigandi,PA,83.05,light rain,9.2333,-78.0167,Akwa Reef Lodge
261,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
263,Mangrol,IN,82.56,few clouds,21.1167,70.1167,Hotel The Royal Honours
266,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
269,Bengkulu,ID,75.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
270,Haapiti,PF,73.13,few clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
272,Vaitape,PF,78.85,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
279,Itoman,JP,82.42,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
280,Saint-Pierre,RE,73.08,overcast clouds,-21.3393,55.4781,Alize Plage
289,Palasa,IN,77.7,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
294,Faya,SA,75.31,scattered clouds,18.3851,42.4509,شيلة نسايم
295,Matara,LK,77.09,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
297,Alta Floresta,BR,80.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
301,Moranbah,AU,72.16,few clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
302,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
304,Peniche,PT,72.28,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
308,Katsuura,JP,72.0,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
313,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
314,Gizo,SB,82.35,overcast clouds,-8.103,156.8419,Imagination Island
315,Tecoanapa,MX,81.64,light rain,16.5167,-98.75,Hotel Manglares
325,Tarancon,ES,77.38,overcast clouds,40.0085,-3.0073,Hostal La Estación
