City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ruidoso,US,33.3317,-105.673,54.14,94,100,3.44,overcast clouds
1,Kahului,US,20.8947,-156.47,76.84,73,0,6.91,clear sky
2,Funtua,NG,11.5233,7.3081,87.87,21,40,9.55,scattered clouds
3,Shingu,JP,33.7333,135.9833,68.86,89,100,5.14,overcast clouds
4,Lebu,CL,-37.6167,-73.65,55.18,78,87,13.06,overcast clouds
5,Aktash,RU,50.3,87.7333,31.21,43,74,5.35,broken clouds
6,Albany,US,42.6001,-73.9662,53.89,68,100,1.41,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,68.58,66,88,21.03,overcast clouds
8,Vila Velha,BR,-20.3297,-40.2925,76.95,77,40,4.61,scattered clouds
9,Ribeira Grande,PT,38.5167,-28.7,70.2,49,20,17.27,few clouds
10,Buraydah,SA,26.326,43.975,93.65,12,0,2.64,clear sky
11,Busselton,AU,-33.65,115.3333,51.94,87,19,10.22,few clouds
12,Esperance,AU,-33.8667,121.9,58.84,87,87,19.28,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,18.41,clear sky
14,Kapaa,US,22.0752,-159.319,77.32,83,100,12.66,overcast clouds
15,Bure,ET,10.7,37.0667,59.16,88,45,2.08,light rain
16,Olafsvik,IS,64.8945,-23.7142,36.36,68,81,25.12,broken clouds
17,Hermanus,ZA,-34.4187,19.2345,77.81,77,29,4.47,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,70.77,67,41,7.38,light rain
19,Dutlwe,BW,-23.9833,23.9,87.15,19,99,7.96,overcast clouds
20,Kununurra,AU,-15.7667,128.7333,84.18,61,100,0.0,overcast clouds
21,Kysyl-Syr,RU,63.8986,122.7617,26.02,94,99,4.56,overcast clouds
22,Airai,TL,-8.9266,125.4092,62.62,75,100,2.17,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,51.3,63,100,3.96,overcast clouds
24,Dikson,RU,73.5069,80.5464,31.1,92,91,10.54,overcast clouds
25,Hobart,AU,-42.8794,147.3294,51.66,65,98,12.66,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,46.06,53,0,12.66,clear sky
27,Cape Town,ZA,-33.9258,18.4232,81.01,41,0,9.22,clear sky
28,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,69,20,8.05,few clouds
29,La Ronge,CA,55.1001,-105.2842,26.85,86,75,2.3,broken clouds
30,Atuona,PF,-9.8,-139.0333,75.96,74,7,11.86,clear sky
31,Maldonado,UY,-34.6667,-54.9167,60.22,93,100,11.97,overcast clouds
32,Coachella,US,33.6803,-116.1739,69.26,54,90,1.79,overcast clouds
33,Marovoay,MG,-16.1,46.6333,79.99,53,16,11.65,few clouds
34,Vostok,RU,46.4856,135.8833,35.76,84,87,3.62,overcast clouds
35,Talnakh,RU,69.4865,88.3972,31.21,92,100,8.77,overcast clouds
36,Arys,KZ,42.4252,68.795,67.73,29,100,9.86,overcast clouds
37,Berdigestyakh,RU,62.0989,126.6992,21.38,98,93,4.65,overcast clouds
38,Nanortalik,GL,60.1432,-45.2371,37.45,71,3,4.85,clear sky
39,Provideniya,RU,64.3833,-173.3,25.09,81,100,10.8,overcast clouds
40,Guerrero Negro,MX,27.9769,-114.0611,71.04,60,99,3.96,overcast clouds
41,Marquette,US,46.5333,-87.6335,41.34,88,100,6.11,overcast clouds
42,Saldanha,ZA,-33.0117,17.9442,77.05,68,14,11.48,few clouds
43,Avera,US,33.194,-82.5271,68.56,41,0,4.85,clear sky
44,Siderno,IT,38.2779,16.302,71.33,62,2,3.58,clear sky
45,Saint-Philippe,RE,-21.3585,55.7679,72.99,77,74,7.14,broken clouds
46,Pryamitsyno,RU,51.6561,35.9314,48.74,66,4,4.27,clear sky
47,Maur,IN,30.0833,75.25,77.65,32,0,2.95,clear sky
48,Meulaboh,ID,4.1363,96.1285,74.97,84,100,6.51,moderate rain
49,Hithadhoo,MV,-0.6,73.0833,81.37,69,99,12.26,overcast clouds
50,Dingle,PH,10.9995,122.6711,77.5,85,99,5.59,overcast clouds
51,Pisco,PE,-13.7,-76.2167,64.45,72,0,8.05,clear sky
52,Bluff,NZ,-46.6,168.3333,50.81,70,46,23.13,scattered clouds
